participant_id,project_code,survey_language,country,institute_code,setting,condition,greencar,greensoap,greendishwasher,race,recoded_race,nationality,original_gender,gender,original_age,age,RorD,LiborCon
1,22,Dutch,The Netherlands,18,Lab,no story,Yes,Yes,Yes,,,,female,Female,22,22,,
2,22,Dutch,The Netherlands,18,Lab,no story,Yes,No,Yes,,,,female,Female,23,23,,
3,22,Dutch,The Netherlands,18,Lab,no story,Yes,Yes,Yes,,,,female,Female,22,22,,
4,22,Dutch,The Netherlands,18,Lab,no story,No,Yes,No,,,,male,Male,27,27,,
5,22,Dutch,The Netherlands,18,Lab,no story,Yes,Yes,Yes,,,,female,Female,20,20,,
6,22,Dutch,The Netherlands,18,Lab,no story,Yes,No,No,,,,male,Male,23,23,,
7,22,Dutch,The Netherlands,18,Lab,no story,No,Yes,Yes,,,,female,Female,21,21,,
8,22,Dutch,The Netherlands,18,Lab,no story,Yes,No,No,,,,female,Female,21,21,,
9,22,Dutch,The Netherlands,18,Lab,no story,No,No,No,,,,female,Female,20,20,,
10,22,Dutch,The Netherlands,18,Lab,no story,Yes,Yes,No,,,,female,Female,17,17,,
11,22,Dutch,The Netherlands,18,Lab,no story,No,Yes,No,,,,female,Female,18,18,,
12,22,Dutch,The Netherlands,18,Lab,no story,Yes,Yes,Yes,,,,female,Female,19,19,,
13,22,Dutch,The Netherlands,18,Lab,no story,Yes,Yes,No,,,,female,Female,19,19,,
14,22,Dutch,The Netherlands,18,Lab,no story,Yes,No,Yes,,,,male,Male,18,18,,
15,22,Dutch,The Netherlands,18,Lab,no story,Yes,No,No,,,,female,Female,21,21,,
16,22,Dutch,The Netherlands,18,Lab,no story,No,Yes,No,,,,female,Female,18,18,,
17,22,Dutch,The Netherlands,18,Lab,no story,No,Yes,No,,,,female,Female,21,21,,
18,22,Dutch,The Netherlands,18,Lab,no story,Yes,No,Yes,,,,female,Female,19,19,,
19,22,Dutch,The Netherlands,18,Lab,no story,No,No,Yes,,,,female,Female,18,18,,
20,22,Dutch,The Netherlands,18,Lab,no story,No,No,No,,,,female,Female,22,22,,
21,22,Dutch,The Netherlands,18,Lab,no story,No,Yes,No,,,,female,Female,18,18,,
22,22,Dutch,The Netherlands,18,Lab,no story,No,Yes,Yes,,,,female,Female,19,19,,
23,22,Dutch,The Netherlands,18,Lab,no story,Yes,Yes,Yes,,,,female,Female,19,19,,
24,22,Dutch,The Netherlands,18,Lab,no story,Yes,No,No,,,,female,Female,18,18,,
25,22,Dutch,The Netherlands,18,Lab,no story,No,No,No,,,,female,Female,21,21,,
26,22,Dutch,The Netherlands,18,Lab,no story,No,Yes,No,,,,female,Female,22,22,,
27,22,Dutch,The Netherlands,18,Lab,no story,No,No,Yes,,,,male,Male,23,23,,
28,22,Dutch,The Netherlands,18,Lab,no story,Yes,Yes,Yes,,,,female,Female,19,19,,
29,22,Dutch,The Netherlands,18,Lab,no story,No,Yes,Yes,,,,female,Female,19,19,,
30,22,Dutch,The Netherlands,18,Lab,no story,No,No,Yes,,,,female,Female,18,18,,
31,22,Dutch,The Netherlands,18,Lab,no story,Yes,Yes,No,,,,female,Female,21,21,,
32,22,Dutch,The Netherlands,18,Lab,no story,Yes,No,No,,,,male,Male,22,22,,
33,22,Dutch,The Netherlands,18,Lab,no story,Yes,No,Yes,,,,female,Female,20,20,,
34,22,Dutch,The Netherlands,18,Lab,no story,No,No,No,,,,female,Female,25,25,,
35,22,Dutch,The Netherlands,18,Lab,no story,No,No,Yes,,,,female,Female,19,19,,
36,22,Dutch,The Netherlands,18,Lab,no story,No,Yes,No,,,,female,Female,18,18,,
37,22,Dutch,The Netherlands,18,Lab,no story,No,Yes,No,,,,female,Female,19,19,,
38,22,Dutch,The Netherlands,18,Lab,no story,Yes,No,No,,,,female,Female,20,20,,
39,22,Dutch,The Netherlands,18,Lab,no story,No,Yes,Yes,,,,female,Female,20,20,,
40,22,Dutch,The Netherlands,18,Lab,no story,No,No,Yes,,,,female,Female,21,21,,
41,22,Dutch,The Netherlands,18,Lab,no story,Yes,Yes,Yes,,,,female,Female,20,20,,
42,22,Dutch,The Netherlands,18,Lab,no story,Yes,Yes,Yes,,,,female,Female,18,18,,
43,22,Dutch,The Netherlands,18,Lab,no story,Yes,No,No,,,,female,Female,18,18,,
44,22,Dutch,The Netherlands,18,Lab,no story,Yes,Yes,No,,,,female,Female,18,18,,
45,22,Dutch,The Netherlands,18,Lab,no story,No,No,No,,,,male,Male,20,20,,
46,22,Dutch,The Netherlands,18,Lab,no story,No,Yes,No,,,,female,Female,23,23,,
47,22,Dutch,The Netherlands,18,Lab,no story,No,Yes,No,,,,female,Female,21,21,,
48,22,Dutch,The Netherlands,18,Lab,no story,No,No,No,,,,female,Female,18,18,,
49,22,Dutch,The Netherlands,18,Lab,no story,Yes,No,No,,,,female,Female,22,22,,
50,22,Dutch,The Netherlands,18,Lab,no story,Yes,No,No,,,,female,Female,18,18,,
51,22,Dutch,The Netherlands,18,Lab,no story,Yes,Yes,Yes,,,,female,Female,18,18,,
52,22,Dutch,The Netherlands,18,Lab,no story,Yes,No,Yes,,,,female,Female,18,18,,
53,22,Dutch,The Netherlands,18,Lab,no story,Yes,Yes,No,,,,female,Female,20,20,,
54,22,Dutch,The Netherlands,18,Lab,no story,Yes,No,No,,,,male,Male,18,18,,
55,22,Dutch,The Netherlands,18,Lab,no story,No,Yes,No,,,,male,Male,23,23,,
56,22,Dutch,The Netherlands,18,Lab,no story,No,No,Yes,,,,male,Male,19,19,,
57,22,Dutch,The Netherlands,18,Lab,no story,No,Yes,No,,,,female,Female,20,20,,
58,22,Dutch,The Netherlands,18,Lab,no story,No,No,No,,,,male,Male,18,18,,
59,22,Dutch,The Netherlands,18,Lab,no story,Yes,Yes,No,,,,female,Female,18,18,,
60,22,Dutch,The Netherlands,18,Lab,no story,Yes,No,No,,,,male,Male,19,19,,
61,22,Dutch,The Netherlands,18,Lab,no story,Yes,Yes,Yes,,,,male,Male,23,23,,
62,22,Dutch,The Netherlands,18,Lab,no story,Yes,Yes,No,,,,female,Female,20,20,,
63,22,Dutch,The Netherlands,18,Lab,no story,Yes,Yes,Yes,,,,female,Female,18,18,,
64,22,Dutch,The Netherlands,18,Lab,no story,No,No,No,,,,female,Female,18,18,,
65,22,Dutch,The Netherlands,18,Lab,no story,Yes,No,No,,,,female,Female,20,20,,
66,22,Dutch,The Netherlands,18,Lab,no story,Yes,No,Yes,,,,female,Female,18,18,,
67,22,Dutch,The Netherlands,18,Lab,no story,No,Yes,Yes,,,,female,Female,19,19,,
68,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,Yes,,,,female,Female,20,20,,
69,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,Yes,,,,female,Female,23,23,,
70,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,No,,,,male,Male,21,21,,
71,22,Dutch,The Netherlands,18,Lab,control story,No,No,No,,,,male,Male,24,24,,
72,22,Dutch,The Netherlands,18,Lab,control story,No,Yes,No,,,,female,Female,21,21,,
73,22,Dutch,The Netherlands,18,Lab,control story,No,No,No,,,,male,Male,25,25,,
74,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,No,,,,female,Female,21,21,,
75,22,Dutch,The Netherlands,18,Lab,control story,Yes,No,No,,,,female,Female,18,18,,
76,22,Dutch,The Netherlands,18,Lab,control story,Yes,No,No,,,,female,Female,18,18,,
77,22,Dutch,The Netherlands,18,Lab,control story,Yes,No,Yes,,,,female,Female,20,20,,
78,22,Dutch,The Netherlands,18,Lab,control story,Yes,No,No,,,,female,Female,19,19,,
79,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,Yes,,,,male,Male,18,18,,
80,22,Dutch,The Netherlands,18,Lab,control story,Yes,No,No,,,,female,Female,19,19,,
81,22,Dutch,The Netherlands,18,Lab,control story,Yes,Yes,No,,,,female,Female,18,18,,
