participant_id,project_code,project,survey_language,country,institute_code,institution,setting,participant_code (original data),condition,greencar,greensoap,greendishwasher,race,recoded_race,nationality,original_gender,gender,original_age,age,RorD,LiborCon
11,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,status story,Yes,No,No,,,,Female,Female,18,18,,
23,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,control story,Yes,No,No,,,,Female,Female,18,18,,
25,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,control story,Yes,No,No,,,,Female,Female,18,18,,
28,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,no story,No,Yes,No,,,,Female,Female,18,18,,
29,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,status story,No,Yes,No,,,,Male,Male,18,18,,
34,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,control story,Yes,Yes,Yes,,,,Male,Male,18,18,,
36,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,no story,Yes,No,Yes,,,,Male,Male,18,18,,
40,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,control story,Yes,Yes,No,,,,Female,Female,18,18,,
44,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,no story,No,Yes,No,,,,Female,Female,18,18,,
47,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,status story,No,No,No,,,,Male,Male,18,18,,
53,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,no story,No,No,Yes,,,,Female,Female,18,18,,
56,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,control story,No,Yes,Yes,,,,Male,Male,18,18,,
57,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,status story,Yes,Yes,Yes,,,,Female,Female,18,18,,
58,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,no story,No,Yes,No,,,,Female,Female,18,18,,
60,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,control story,Yes,Yes,No,,,,Female,Female,18,18,,
63,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,control story,Yes,Yes,Yes,,,,Female,Female,18,18,,
67,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,no story,Yes,No,No,,,,Female,Female,18,18,,
71,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,control story,Yes,Yes,No,,,,Female,Female,18,18,,
72,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,status story,Yes,Yes,Yes,,,,Female,Female,18,18,,
86,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,no story,No,No,Yes,,,,Female,Female,18,18,,
93,22,#14-3,Dutch,The Netherlands,18,Tilburg University,Lab,,status story,Yes,Yes,No,,,,Female,Female,18,18,,
