"project_code","location","setting","year","mean_age","proportion_male","proportion_republican","proportion_conservative","total_effect_d","variance","n_control","n_status","m_control","m_status","sd_control","sd_status","mf_d","mf_v","vi"
19,"USA","Lab",2014,NA,0.366666666666667,NA,NA,-0.202369590248903,0.0520708371448919,62,28,1.58064516129032,1.39285714285714,0.932973162103665,0.916486273736323,-0.200639112171875,0.0520669627130898,0.0520708371448919
22,"other","Lab",2014,19.8737373737374,0.186868686868687,NA,NA,0.0965947054578963,0.0225825228830185,131,67,1.52671755725191,1.61194029850746,0.897245736640828,0.852006968967747,0.096224531926741,0.0225823426391347,0.0225825228830185
23,"USA","Lab",2016,21.625,0.29042904290429,0.23828125,0.303643724696356,0.0149595969142316,0.014932293644589,207,99,1.67149758454106,1.68686868686869,1.01364916985969,1.05604638741716,0.0149226545669824,0.0149322918407973,0.014932293644589
21,"USA",NA,2017,22.0650887573964,0.266272189349112,NA,0.710059171597633,-0.00500844554167886,0.0264725052922704,112,57,1.26785714285714,1.26315789473684,0.89020842642105,1.02689399559813,-0.00498591316314084,0.0264725046260081,0.0264725052922704
1,"USA","Lab",2018,21.3263888888889,0.460992907801418,0.356164383561644,0.425373134328358,-0.39660098728259,0.0293811618159277,91,56,1.58241758241758,1.17857142857143,1.02269724058963,1.0109786951652,-0.394545467396792,0.0293756304646687,0.0293811618159277
11,"USA","Online",2018,28.8170212765957,0.414529914529915,NA,NA,0.239075856530502,0.0179175506592121,194,79,1.46907216494845,1.70886075949367,0.977239511134683,1.06400186444527,0.238413494530802,0.0179169714086601,0.0179175506592121
15,"other","Lab",2018,22.8318965517241,0.427947598253275,NA,0.223463687150838,-0.065330014731095,0.0193232176132106,154,78,2.12337662337662,2.06410256410256,0.87318755015782,0.971539728415387,-0.0651167115473966,0.0193231576461804,0.0193232176132106
16,"USA","Lab",2018,18.9822485207101,0.227544910179641,0.51219512195122,0.545454545454545,-0.325384562526729,0.0266138478792659,107,59,1.28971962616822,1,0.921538354881033,0.8304547985374,-0.323893871784095,0.0266109325980869,0.0266138478792659
17,"USA","Online",2018,29.3084112149533,0.228813559322034,NA,0.62962962962963,0.0141190586241924,0.0393735507335101,81,37,1.44444444444444,1.45945945945946,1.08397416943394,1.01638232621048,0.0140275414443635,0.0393735398186904,0.0393735507335101
20,"USA","Lab",2018,21.4509803921569,0.509803921568627,NA,0.84,0.244604248698482,0.0432225833140054,66,36,1.07575757575758,1.30555555555556,0.965729792765053,0.888640838405787,0.242764348988459,0.0432181876799782,0.0432225833140054
2,"USA","Online",2019,36.4579439252336,0.233644859813084,0.516129032258065,NA,0.229747697058697,0.0377905138748414,57,50,1.31578947368421,1.56,1.00281558511242,1.12775739177089,0.228102069694608,0.0377869930799591,0.0377905138748414
