"","participant_id","project_code","project","survey_language","country","institute_code","institution","setting","participant_code..original.data.","condition","greencar","greensoap","greendishwasher","race","recoded_race","nationality","original_gender","gender","original_age","age","RorD","LiborCon","new_condition","total","Groups.New","US_or_other","year"
"1",11,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"status story",1,0,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Status",1,0,"other","2014"
"2",23,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"control story",1,0,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",1,0,"other","2014"
"3",25,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"control story",1,0,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",1,0,"other","2014"
"4",28,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"no story",0,1,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",1,0,"other","2014"
"5",29,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"status story",0,1,0,NA,NA,NA,"Male","Male","18",18,NA,NA,"Status",1,0,"other","2014"
"6",34,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"control story",1,1,1,NA,NA,NA,"Male","Male","18",18,NA,NA,"Control",3,0,"other","2014"
"7",36,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"no story",1,0,1,NA,NA,NA,"Male","Male","18",18,NA,NA,"Control",2,0,"other","2014"
"8",40,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"control story",1,1,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",2,0,"other","2014"
"9",44,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"no story",0,1,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",1,0,"other","2014"
"10",47,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"status story",0,0,0,NA,NA,NA,"Male","Male","18",18,NA,NA,"Status",0,0,"other","2014"
"11",53,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"no story",0,0,1,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",1,0,"other","2014"
"12",56,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"control story",0,1,1,NA,NA,NA,"Male","Male","18",18,NA,NA,"Control",2,0,"other","2014"
"13",57,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"status story",1,1,1,NA,NA,NA,"Female","Female","18",18,NA,NA,"Status",3,0,"other","2014"
"14",58,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"no story",0,1,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",1,0,"other","2014"
"15",60,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"control story",1,1,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",2,0,"other","2014"
"16",63,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"control story",1,1,1,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",3,0,"other","2014"
"17",67,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"no story",1,0,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",1,0,"other","2014"
"18",71,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"control story",1,1,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",2,0,"other","2014"
"19",72,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"status story",1,1,1,NA,NA,NA,"Female","Female","18",18,NA,NA,"Status",3,0,"other","2014"
"20",86,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"no story",0,0,1,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",1,0,"other","2014"
"21",93,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"status story",1,1,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Status",2,0,"other","2014"
"22",99,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"control story",0,1,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",1,0,"other","2014"
"23",102,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"control story",0,1,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",1,0,"other","2014"
"24",105,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"no story",0,1,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",1,0,"other","2014"
"25",110,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"status story",1,1,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Status",2,0,"other","2014"
"26",116,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"control story",1,1,1,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",3,0,"other","2014"
"27",118,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"status story",1,1,0,NA,NA,NA,"Male","Male","18",18,NA,NA,"Status",2,0,"other","2014"
"28",124,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"no story",1,1,1,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",3,0,"other","2014"
"29",125,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"no story",1,0,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",1,0,"other","2014"
"30",126,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"status story",0,0,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Status",0,0,"other","2014"
"31",129,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"control story",1,1,1,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",3,0,"other","2014"
"32",131,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"no story",1,1,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",2,0,"other","2014"
"33",136,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"control story",0,1,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",1,0,"other","2014"
"34",141,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"no story",0,0,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",0,0,"other","2014"
"35",143,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"status story",1,1,1,NA,NA,NA,"Female","Female","18",18,NA,NA,"Status",3,0,"other","2014"
"36",144,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"control story",1,1,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",2,0,"other","2014"
"37",148,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"no story",1,0,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",1,0,"other","2014"
"38",149,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"status story",1,0,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Status",1,0,"other","2014"
"39",150,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"no story",1,1,1,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",3,0,"other","2014"
"40",154,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"no story",1,0,1,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",2,0,"other","2014"
"41",156,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"status story",1,1,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Status",2,0,"other","2014"
"42",159,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"no story",1,0,0,NA,NA,NA,"Male","Male","18",18,NA,NA,"Control",1,0,"other","2014"
"43",165,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"status story",1,1,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Status",2,0,"other","2014"
"44",173,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"no story",0,0,0,NA,NA,NA,"Male","Male","18",18,NA,NA,"Control",0,0,"other","2014"
"45",174,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"control story",0,1,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",1,0,"other","2014"
"46",175,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab",NA,"control story",1,0,0,NA,NA,NA,"Female","Female","18",18,NA,NA,"Control",1,0,"other","2014"
