"","input_by","input_date","participant_id","project_code","project","survey_language","country","institute_code","institution","setting","participant_code..original.data.","condition","greencar","greensoap","greendishwasher","race","recoded_race","nationality","original_gender","gender","original_age","age","RorD","LiborCon","X","X2059_Q14_1","X2059_Q14_2","X2059_Q14_3","X2059_Q14_4","X2059_Q14_5","X2059_Q14_6","X2059_Q14_7","X2059_Q14_8","X2059_Q14_9","X2059_Q14_10","X2059_Q14_11","X2059_Q14_12","X2059_Q14_13","X2059_Q14_14","X2059_Q14_15","X2059_Q14_16","X2059_Q14_17","X2059_Q14_18","X2059_Q14_19","X2059_Q14_20","X2059_ELSA.2...22","X2013_Which.side.of.the.political.spectrum.do.you.most.closely.align.with.","X2013_If.you.know..what.is.the.socio.economic.status.of.your.home.","X1830_conservative","X1830_conservative_x_status","X1830_politicalparty","X1832_political_views","liberal8liberal7_political_identity","democrat8democrat7_party_affiliation","military8military7_military","X1820_Altruism_1","X1820_Altruism_2","X1820_Altruism_3","X1820_Altruism_4","X1820_Altruism_5","X1820_Altruism_6","X1820_Altruism_7","X1820_Altruism_8","X1820_Altruism_9","X1820_Altruism_10","X1820_Altruism_11","X1820_Altruism_12","X1820_Altruism_13","X1820_Altruism_14","X1820_Altruism_15","X1820_Altruism_16","X1820_Altruism_17","X1820_Altruism_18","X1820_Altruism_19","X1820_Altruism_20","X1820_Perceived_SES","X1820_Env_1","X1820_Env_2","X1820_Env_3","X1820_Env_4","X1820_Env_5","X1820_Env_6","X1820_Env_7","X1820_Env_8","X1820_Env_9","X1820_Env_10","X1820_Env_11","X1820_Env_12","X1820_Env_13","X1820_Env_14","X1820_Env_15","X1820_Env_16","X1820_Env_17","X1820_Env_18","X1820_Env_19","X1820_Env_20","X1820_Env_21","X1820_Env_22","X1820_Env_23","X1820_Env_24","X1820_Nature_Connect","X1820_Backpack","X1956_HaveJob","X1935_AltruismScale","X1925_NiceGreenCar","X1925_CaringGreenCar","X1925_AltruismGreenCar","X1925_NiceGreenCleaner","X1925_CaringGreenCleaner","X1925_AltruismGreenCleaner","X1925_NiceGreenDishwasher","X1925_CaringGreenDishwasher","X1925_AltruismGreenDishwasher","X1925_NiceNonGreenCar","X1925_CaringNonGreenCar","X1925_AltruismNonGreenCar","X1925_NiceNonGreenCleaner","X1925_CaringNonGreenCleaner","X1925_AltruismNonGreenCleaner","X1925_NiceNonGreenDishwasher","X1925_CaringNonGreenDishwasher","X1925_AltruismNonGreenDishwasher","X1925_LibCon","X1925_Party","X1925_Abortion","X1925_LimitedGovernment","X1925_MilitaryNationalSecurity","X1925_Religion","X1925_WelfareBenefits","X1925_GunOwnership","X1925_TraditionalMarriage","X1925_TraditionalValues","X1925_FiscalResponsibility","X1925_Business","X1925_FamilyUnit","X1925_Patriotism","X1925_StoryTest1","X1925_StoryTest2","X1925_StoryTest3","X1925_StoryTest4","X1925_HypothesisGuess","X1925_FrivolousResponding","X1925_ParticipatedBefore","X1925_Competitive","X1925_MotivatedToCompete","X1925_DesireHigherStatus","X1925_MotivatedHigherPrestige","X1925_Enthusiastic","X1925_Excited","X1925_Frustrated","X1925_Angry","X1933_Political","X19_24_Politics_1","X19_24_Politics_2","X19_24_Politics_3","X19_24_Politics_4","X19_24_Politics_5","X19_24_Politics_1Rev","X19_24_Politics_4Rev","X19_24_Politics1","X19_24_Politics2","X18_37_altruism_AL03_01_getmoney....that.you.have.won.300..in.total..","X18_37_altruism_share","X18_37_share_amount","X18_37_AQ02_01_kauf_allg_Please.indicate.on.a.scale.from.1..disagree.completely..to.9..agree.completely..how.much.you.agree.with.the.following.statements...Choosing.to.buy.pro.environmental.products.is.a.behavior.that.is.beneficial.for.the.general.public..","X18_37_AQ02_02_kauf_nett_.Consumers.of.pro.environmental.products.are.kinder.than.consumers.of.conventional.products..","X18_37_AQ02_03_kauf_mitfue_.Consumers.of.pro.environmental.products.are.more.empathetic.than.consumers.of.conventional.products..","X18_37_AQ02_04_kauf_altru_.Consumers.of.pro.environmental.products.are.more.altruistic.than.consumers.of.conventional.products..","X18_37_pol.ori_political.orientation","X2058_Extra.Only","Label..0.means.the.participant.chose.2.or.more.nongreen.products.and.were.labeled.as.nongreen..1.means.the.participant.chose.2.or.more.green.products.and.were.labeled.as.green.","Match..Based.on.the.original.hypothesis.by.Griskevicius.et.al...2010...it.was.expected.that.participants.in.the.control.condition.would.choose.more.nongreen.products.and.participants.in.the.status.condition.would.choose.more.green.products..Following.that..the.researchers.determined.if.the.condition.the.participant.was.in.matched.with.the.hypothesized.label..In.that..0.means.the.participants.label.did.not.match.the.condition..and.1.means.the.participants.label.did.match.the.condition.","NGN..the.rating.of.the.nongreen.consumer.on.how.nice.they.are.on.a.1.to.9.scale.","NGC..the.rating.of.the.nongreen.consumer.on.how.caring.they.are.on.a.1.to.9.scale.","NGA..the.rating.of.the.nongreen.consumer.on.how.altruistic.they.are.on.a.1.to.9.scale.","XNG..The.average.of.the.three.trait.scores.for.the.nongreen.consumer.","GN..the.rating.of.the.green.consumer.on.how.nice.they.are.on.a.1.to.9.scale.","GC..the.rating.of.the.green.consumer.on.how.caring.they.are.on.a.1.to.9.scale.","GA..the.rating.of.the.green.consumer.on.how.altruistic.they.are.on.a.1.to.9.scale.","XG..The.average.of.the.three.trait.scores.for.the.green.consumer."
"1","JRW","January 9 2023",1,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab","","status story","Yes","No","No","","","","Female","Female","20",20,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","JRW","January 9 2023",2,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab","","no story","Yes","Yes","Yes","","","","Female","Female","22",22,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","JRW","January 9 2023",3,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab","","control story","Yes","Yes","Yes","","","","Female","Female","20",20,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","JRW","January 9 2023",4,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab","","no story","Yes","No","Yes","","","","Female","Female","23",23,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","JRW","January 9 2023",5,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab","","control story","Yes","Yes","Yes","","","","Female","Female","23",23,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","JRW","January 9 2023",6,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab","","status story","No","Yes","Yes","","","","Female","Female","22",22,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","JRW","January 9 2023",7,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab","","no story","Yes","Yes","Yes","","","","Female","Female","22",22,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","JRW","January 9 2023",8,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab","","status story","Yes","No","No","","","","Female","Female","22",22,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","JRW","January 9 2023",9,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab","","control story","Yes","Yes","No","","","","Male","Male","21",21,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","JRW","January 9 2023",10,22,"#14-3","Dutch","The Netherlands",18,"Tilburg University","Lab","","no story","No","Yes","No","","","","Male","Male","27",27,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
